"","status","geometry","type","source","sYear","Empreendimento","Fase","Quantidade de UH"," Tipo de UH"," Programa"," Valor Estadual"," Valor Total"," Logradouro"," Número do Logradouro"," Bairro"," CEP"," Município"," Código do Município"," Região","Longitude","Latitude","id"
"11","Funciona","POINT (-46.4191833333333 -23.4524777777778)","FAR",NA,NA," RESIDENCIAL VILA PIMENTAS I"," ENTREGA TOTAL"," 580"," APTO"," FAR"," 1313531,80"," 34151881,90"," Rua MUCUGEO"," 340"," PIMENTAS"," 07273100"," Guarulhos"," 3518800"," RMSP"," -46.4191833333333"," -23.4524777777778",11
"12","Funciona","POINT (-46.85875 -23.5749444444444)","FAR",NA,NA," RESIDENCIAL VIOLETAS - CONDOMÍNIO JARDIM DAS FLORES LOTE A"," ENTREGA TOTAL"," 300"," APTO"," FAR"," 6000000"," 28799987,72"," Rua                       Paraguai"," 1-183"," "," "," Carapicuíba"," 3510609"," RMSP"," -46.85875"," -23.5749444444444",12
"13","Funciona","POINT (-46.6791666666667 -23.7647222222222)","FAR",NA,NA," LOTEAMENTO AMÉRICA DO SUL"," OBRAS"," 1188"," APTO"," FAR"," 28095427,91"," 118383427,91"," Estrada do Barro Branco"," 1500"," Grajaú"," 04852515"," São Paulo"," 3550308"," RMSP"," -46.6791666666667"," -23.7647222222222",13
"14","Funciona","POINT (-45.8038888888889 -23.2525)","FAR",NA,NA," LOTEAMENTO PINHEIRINHO DOS PALMARES II"," OBRAS"," 1461"," CASA"," FAR"," 29220000"," 140256000"," "," "," "," "," São José dos Campos"," 3549904"," RMVPLN"," -45.8038888888889"," -23.2525",14
"15","Funciona","POINT (-47.3515 -22.3367)","FAR",NA,NA," LOTEAMENTO RESIDENCIAL JARDIM AEROPORTO"," CONCLUÍDO"," 680"," CASA"," FAR"," 9650770,80"," 57250770,80"," Avenida                   JOÃO ROSSI"," "," LORETO"," "," Araras"," 3503307"," ESP"," -47.3515"," -22.3367",15
"16","Funciona","POINT (-45.4356666666667 -23.6932777777778)","FAR",NA,NA," NOVA CARAGUÁ"," ENTREGA TOTAL"," 720"," CASA"," FAR"," 14400000"," 64800000"," Rua                       José Geraldo Fernandes da Silva Júnior"," "," Porto Novo"," "," Caraguatatuba"," 3510500"," RMVPLN"," -45.4356666666667"," -23.6932777777778",16
"17","Funciona","POINT (-51.1641388888889 -22.1496666666667)","FAR",NA,NA," PAC PMCMV MARTINOPOLIS"," ENTREGA TOTAL"," 24"," CASA"," FAR"," 39975,68"," 1659926,26"," Avenida Dr Fabio dal Fabro"," s/n"," vila alegrete"," 19500000"," Martinópolis"," 3529203"," ESP"," -51.1641388888889"," -22.1496666666667",17
"18","Funciona","POINT (-46.8137888888889 -23.6682944444444)","FAR",NA,NA," PARQUE DAS CHÁCARAS I"," ENTREGA TOTAL"," 112"," APTO"," FAR"," 2583197,83"," 11095197,83"," Estrada                   DA BAVIERA"," 1600"," M´BOI MIRIM"," "," Embu das Artes"," 3515004"," RMSP"," -46.8137888888889"," -23.6682944444444",18
"19","Funciona","POINT (-46.812725 -23.6704333333333)","FAR",NA,NA," PARQUE DAS CHÁCARAS IV"," OBRAS >= 85%"," 112"," APTO"," FAR"," 2329964,11"," 10841964,11"," Rua                       NONOAI"," "," EMBU MIRIM"," "," Embu das Artes"," 3515004"," RMSP"," -46.812725"," -23.6704333333333",19
"20","Funciona","POINT (-46.7897194444444 -23.8772916666667)","FAR",NA,NA," PARQUE DO CIPÓ - CONDOMÍNIO RESIDENCIAL CIPÓ II"," ASSINADO"," 300"," APTO"," FAR"," 5935607,94"," 28735607,94"," Avenida DO MOINHO"," 0"," "," "," Embu-Guaçu"," 3515103"," RMSP"," -46.7897194444444"," -23.8772916666667",20
